,Power [kW],Temperature [C],Relative Humidity (%),Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rain [mm/h],Rain Day,Holiday,Power-1,Power-2,Month,Hour,Week Day,Weekend,HDH,logtemp,WeekDay^2,Sin_hour
2018-07-02 16:00:00,383.922808,19.633333333333333,63.29333333333333,0.0,0.0,1018.0833333333334,143.04999999999998,0.0,0.4000000000000001,0,416.5581175,429.1563721,7,16,1,0,0.0,2.9772288019894315,1,6.206858488414452
2018-07-02 17:00:00,369.987108,20.219166666666666,59.26166666666666,0.0,0.0,1018.0,427.5916666666667,0.0,0.4000000000000001,0,383.922808,416.5581175,7,17,1,0,0.0,3.006630999422888,1,3.96606997037041
2018-07-02 18:00:00,293.8248804,20.240833333333335,57.76666666666667,0.0,0.0,1018.0,383.3833333333334,0.0,0.4000000000000001,0,369.987108,383.922808,7,18,1,0,0.0,3.0077020161672174,1,1.455000338086137
2018-07-02 19:00:00,215.5096826,19.959166666666665,58.00833333333333,0.0,0.0,1018.0,177.04166666666666,0.0,0.4000000000000001,0,293.8248804,369.987108,7,19,1,0,0.0,2.9936885198447545,1,-1.1552251627369503
2018-07-02 20:00:00,153.3383251,19.00916666666667,61.16,0.0,0.0,1018.9166666666666,68.19500000000001,0.0,0.4000000000000001,0,215.5096826,293.8248804,7,20,1,0,0.0,2.944921318962247,1,-3.6867239778193617
2018-07-02 21:00:00,122.2462512,17.690833333333334,66.27416666666666,0.0,0.0,1019.0833333333334,2.83925,0.0,0.4000000000000001,0,153.3383251,215.5096826,7,21,1,0,0.0,2.87304661465591,1,-5.966978646412833
2018-07-02 22:00:00,117.6961497,16.745,73.75833333333334,0.0,0.0,1020.0,2.0879999999999996,0.0,0.4000000000000001,0,122.2462512,153.3383251,7,22,1,0,0.0,2.818099706246168,1,-7.840593581151714
2018-07-02 23:00:00,112.6084738,16.315833333333334,77.79166666666667,0.0,0.0,1020.0,1.495,0.0,0.4000000000000001,0,117.6961497,122.2462512,7,23,1,0,0.0,2.7921360064811815,1,-9.179885020528637
2018-07-03 00:00:00,103.9765485,16.203333333333333,78.51666666666667,0.0,0.0,1020.0,1.5413333333333334,0.0,0.0,0,112.6084738,117.6961497,7,0,2,0,0.0,2.7852169823892545,4,-9.893582466233818
2018-07-03 01:00:00,97.4859485,16.162499999999998,79.25,0.0,0.0,1020.0,1.7466666666666668,0.0,0.0,0,103.9765485,112.6084738,7,1,2,0,0.0,2.7826937440979758,4,-9.933048616783237
2018-07-03 02:00:00,91.6659802,16.074166666666667,79.2,0.0,0.0,1019.1666666666666,1.6221666666666668,0.0,0.0,0,97.4859485,103.9765485,7,2,2,0,0.0,2.7772134284481487,4,-9.29559391923785
2018-07-03 03:00:00,91.8240454,15.916666666666666,81.2,0.0,0.0,1019.0,1.30375,0.0,0.0,0,91.6659802,97.4859485,7,3,2,0,0.08333333333333393,2.7673667782586295,4,-8.024659857791685
2018-07-03 04:00:00,91.1028252,15.6725,82.26666666666667,0.0,0.0,1019.0,1.3958333333333333,0.0,0.0,0,91.8240454,91.6659802,7,4,2,0,0.32750000000000057,2.7519075841659864,4,-6.2068584884144515
2018-07-03 05:00:00,98.6160765,15.594166666666666,81.90833333333335,0.0,0.0,1019.0,1.42125,0.0,0.0,0,91.1028252,91.8240454,7,5,2,0,0.4058333333333337,2.746896912701697,4,-3.9660699703704005
2018-07-03 06:00:00,122.4972847,15.560833333333333,81.84166666666667,0.0,0.0,1019.0,13.454,0.0,0.0,0,98.6160765,91.1028252,7,6,2,0,0.4391666666666669,2.7447570734429885,4,-1.455000338086136
2018-07-03 07:00:00,212.0108674,16.16,78.28333333333335,0.0,0.0,1019.0,154.35833333333332,0.0,0.0,0,122.4972847,98.6160765,7,7,2,0,0.0,2.7825390530929495,4,1.1552251627369516
2018-07-03 08:00:00,309.7552945,16.6125,74.42916666666666,0.0,0.0,1019.0,282.7,0.0,0.0,0,212.0108674,122.4972847,7,8,2,0,0.0,2.8101554240393636,4,3.686723977819363
2018-07-03 09:00:00,391.016652,18.368333333333336,65.0175,0.0,0.0,1019.1666666666666,526.5916666666666,0.0,0.0,0,309.7552945,212.0108674,7,9,2,0,0.0,2.9106281674753958,4,5.966978646412833
2018-07-03 10:00:00,438.1267631,19.683333333333334,57.669999999999995,0.0,0.0,1019.0,564.4499999999999,0.0,0.0,0,391.016652,309.7552945,7,10,2,0,0.0,2.979772253975262,4,7.8405935811517145
2018-07-03 11:00:00,412.090103,19.166666666666668,59.27166666666667,0.0,0.0,1019.3333333333334,347.2583333333334,0.0,0.0,0,438.1267631,391.016652,7,11,2,0,0.0,2.953172659135195,4,9.17988502052864
2018-07-03 12:00:00,416.5166922,19.6025,57.6325,0.0,0.0,1019.0,495.94166666666666,0.0,0.0,0,412.090103,438.1267631,7,12,2,0,0.0,2.97565710912294,4,9.893582466233818
2018-07-03 13:00:00,408.7697793,19.67833333333333,57.4975,0.0,0.0,1019.0,461.21666666666664,0.0,0.0,0,416.5166922,412.090103,7,13,2,0,0.0,2.9795181996909634,4,9.933048616783237
2018-07-03 14:00:00,397.8249096,19.370833333333334,56.69916666666666,0.0,0.0,1019.0,285.75,0.0,0.0,0,408.7697793,416.5166922,7,14,2,0,0.0,2.9637684983485935,4,9.295593919237854
2018-07-03 15:00:00,424.2133984,19.858333333333334,52.4375,0.0,0.0,1019.0,335.84999999999997,0.0,0.0,0,397.8249096,408.7697793,7,15,2,0,0.0,2.9886237343166964,4,8.024659857791692
2018-07-03 16:00:00,392.6885542,20.215,49.48583333333334,0.0,0.0,1019.0,247.34166666666667,0.0,0.0,0,424.2133984,397.8249096,7,16,2,0,0.0,3.0064249030927344,4,6.206858488414452
2018-07-03 17:00:00,344.6115346,19.991666666666667,49.767500000000005,0.0,0.0,1019.0,462.05,0.0,0.0,0,392.6885542,424.2133984,7,17,2,0,0.0,2.9953155200576487,4,3.96606997037041
2018-07-03 18:00:00,304.8392377,19.5575,48.373333333333335,0.0,0.0,1018.5833333333334,382.34999999999997,0.0,0.0,0,344.6115346,392.6885542,7,18,2,0,0.0,2.9733588445770986,4,1.455000338086137
2018-07-03 19:00:00,232.3581348,19.079166666666666,51.365,0.0,0.0,1019.0,246.0,0.0,0.0,0,304.8392377,344.6115346,7,19,2,0,0.0,2.9485969893151043,4,-1.1552251627369503
2018-07-03 20:00:00,174.5202073,17.976666666666667,58.01166666666666,0.0,0.0,1019.0,64.90916666666666,0.0,0.0,0,232.3581348,304.8392377,7,20,2,0,0.0,2.889074620681026,4,-3.6867239778193617
2018-07-03 21:00:00,145.1454698,16.750833333333333,68.665,0.0,0.0,1019.0833333333334,2.13125,0.0,0.0,0,174.5202073,232.3581348,7,21,2,0,0.0,2.8184480082773042,4,-5.966978646412833
2018-07-03 22:00:00,130.1596289,16.477500000000003,73.72500000000001,0.0,0.0,1020.0,1.405,0.0,0.0,0,145.1454698,174.5202073,7,22,2,0,0.0,2.801995813944738,4,-7.840593581151714
2018-07-03 23:00:00,116.405093,16.365,75.21666666666665,0.0,0.0,1020.0,1.6313333333333333,0.0,0.0,0,130.1596289,145.1454698,7,23,2,0,0.0,2.795144907953144,4,-9.179885020528637
